docId,city_name,country_name,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
85,"Nicosia","Northern Cyprus",1648,4,15,236,7,19,60,10,3814,48
86,"Pyongyang","North Korea",6,8,12,28,6,18,4118,8,10647,17
87,"Muscat","Oman",9,16,84,1944,0,117,15,12,4349,96
88,"Islamabad","Pakistan",19,26,282,3656,2,240,41,7,9187,53
89,"East Jerusalem","Palestine",31,18,3,4373,29,19,12,22,8263,30
90,"Manila","Philippines",68,53,490,189,2063,1244,176,76,7552,163
91,"Doha","Qatar",16,23,34,2407,15,142,2,28,5016,27
92,"Riyadh","Saudi Arabia",11,39,32,4276,30,136,16,15,7838,60
93,"Singapore","Singapore",15,3,252,154,3,2299,166,25,7260,13
94,"Seoul","South Korea",8,10,13,23,6,22,3436,12,7747,11
95,"Tskhinvali","South Ossetia",1566,5,27,22,8,14,441,4,3663,6
96,"Sri Jayawardenapura Kotte","Sri Lanka",6,10,3724,114,16,285,22,3,7755,66
97,"Damascus","Syria",59,5,6,2850,18,12,38,38,5525,12
98,"Taipei","Taiwan",11,30,38,28,107,242,3817,36,10049,61
99,"Dushanbe","Tajikistan",15,7,26,319,6,14,1153,4,3330,55
100,"Bangkok","Thailand",2,15,1777,59,9,189,38,153,5630,10
101,"Ankara","Turkey",2214,47,27,491,8,15,44,13,6685,15
102,"Ashgabat","Turkmenistan",64,12,18,234,2,17,979,9,2728,49
103,"Abu Dhabi","United Arab Emirates",11,1,54,2772,5,141,11,18,5209,40
104,"Tashkent","Uzbekistan",21,11,11,307,6,10,1760,12,5478,40
105,"Hanoi","Vietnam",18,42,183,74,52,142,264,2483,6885,98
106,"Sana'a","Yemen",20,4,14,2371,9,25,32,1,4654,140
107,"Tirana","Albania",2567,87,8,107,13,12,25,37,5948,140
108,"Andorra la Vella","Andorra",87,90,9,16,88,96,9,1150,2924,17
109,"Vienna","Austria",216,2864,3,11,3,15,5,9,5532,8
110,"Minsk","Belarus",34,306,3,17,9,5,1703,15,5622,4
